"Timestamp","Which CNCF project(s) do you primarily contribute to?","What is your primary contributor role?","How would you rate your familiarity with TAG Security’s guidelines (ref: https://contribute.cncf.io/projects/best-practices/security/)?","Does your project currently follow any formal secure coding standards?","If you answered yes to the previous question, please expand which standards are followed and if they are documented, please add a link to them.","How would you rate the balance between security improvement and development speed for these tools or practices?","What are the top pain points your project has experienced when trying to adopt secure coding practices?","Have any secure coding practices inadvertently slowed development or blocked contributions?","If you answered yes to the previous question, in what ways have you seen this impact?","What has been the biggest blocker for adopting secure coding tools or processes in your project?","Can you describe an example where your project successfully improved security with minimal friction?","What would you recommend to other maintainers trying to adopt secure coding in their projects?","Would you be willing to participate in an interview for the initiative?","If you answered yes to the previous question, what is the best way to communicate with you?","Additional comments and general feedback"
"Response-01","TAG DevEx","","2","Yes, established and documented","OWASP Secure Coding Practices: https://owasp.org/www-project-secure-coding-practices-quick-reference-guide/","3","Lack of clear best practices;High false positives in scans","No","","Time pressure and lack of strategy ","","To be part of the project planning not an after thought. With regulations enforcing this now, it's hard to deny","Maybe","",""
"Response-02","No","","1","No","","1","Tooling complexity","Yes","","","","","No","",""
"Response-03","sdfsadf","","","","","","","","","","","","","",""
"Response-04","Kubeflow","Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)","2","Yes, informal/implicit","SECURITY.md, RBAC, Merging via prow, Immutable releases, branch protections, reviews etc.","4","Tooling complexity;Lack of clear best practices;Lack of contributor time;Integration with project workflows","No","","Contributor time and multitude of tasks / unclear where to start","Implementing a lot of changes around branch/tag protections and GitHub action audits post the trivy incident.","Apply defense in depth and try to keep the overall project in a state where it's as ""easy"" to maintain and evolve as possible in order to be able to react to the ever-changing security landscape.","Yes","Redacted in sanitized dataset",""
"Response-05","Argo Rollouts","Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)","3","Yes, informal/implicit","Artifact signing https://argo-rollouts.readthedocs.io/en/stable/security/signed-release-assets/","2","Tooling complexity;Lack of clear best practices;Lack of contributor time","No","","Time","","","No","",""
"Response-06","Open Telemetry","Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)","1","Not sure","","","High false positives in scans;Lack of contributor time","No","","","","","","",""
"Response-07","OpenTelemetry","Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)","1","Yes, informal/implicit","","3","Tooling complexity;High false positives in scans","Yes","False positives in code scans","That the tools simply suck","","","No","",""
"Response-08","https://github.com/open-telemetry/opentelemetry-dotnet https://github.com/open-telemetry/opentelemetry-dotnet-contrib","Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)","1","Yes, informal/implicit","","4","Lack of contributor time","No","","","Enabled CodeQL","","No","",""
"Response-09","Kubescape","Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)","4","Yes, informal/implicit","","4","Lack of contributor time;Integration with project workflows","No","","Time, incentive","Enabling dependabot","","Maybe","",""
"Response-10","prometheus","Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)","1","Not sure","","","Lack of contributor time","","","","","","Maybe","",""
"Response-11","opentelemetry-injector","Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)","2","Yes, informal/implicit","rbac/access management for the repo, two factor auth, branch protection, issue templates","4","","No","","I wasn't aware of https://contribute.cncf.io/projects/best-practices/security/ until just now. :)","","","No","",""
"Response-12","opentelemetry","Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)","1","Not sure","","3","Integration with project workflows","No","","Lack of tooling to handle incident response, private PR for GHSA impossible to handle, does not fit with existing workflow, impossible to review, test and pass CI which is not run.","Automated upgrade of dependencies (dependabot) and code scans working well. Remediation is more a painpoint.","","Yes","Redacted in sanitized dataset",""
"Response-13","OpenTelemetry","Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)","2","Not sure","","","Lack of clear best practices;Lack of contributor time","No","","lack of time","","","No","",""
